C:\Users\Kasper\Desktop\Data\IMG\center_2019_02_16_13_51_19_363.jpg, C:\Users\Kasper\Desktop\Data\IMG\left_2019_02_16_13_51_19_363.jpg, C:\Users\Kasper\Desktop\Data\IMG\right_2019_02_16_13_51_19_363.jpg, 0, 0, 0, 7.775975E-05
C:\Users\Kasper\Desktop\Data\IMG\center_2019_02_16_13_51_19_465.jpg, C:\Users\Kasper\Desktop\Data\IMG\left_2019_02_16_13_51_19_465.jpg, C:\Users\Kasper\Desktop\Data\IMG\right_2019_02_16_13_51_19_465.jpg, 0, 0, 0, 7.86023E-05
C:\Users\Kasper\Desktop\Data\IMG\center_2019_02_16_13_51_19_567.jpg, C:\Users\Kasper\Desktop\Data\IMG\left_2019_02_16_13_51_19_567.jpg, C:\Users\Kasper\Desktop\Data\IMG\right_2019_02_16_13_51_19_567.jpg, 0, 0, 0, 7.780856E-05
C:\Users\Kasper\Desktop\Data\IMG\center_2019_02_16_13_51_19_668.jpg, C:\Users\Kasper\Desktop\Data\IMG\left_2019_02_16_13_51_19_668.jpg, C:\Users\Kasper\Desktop\Data\IMG\right_2019_02_16_13_51_19_668.jpg, 0, 0, 0, 7.840218E-05
C:\Users\Kasper\Desktop\Data\IMG\center_2019_02_16_13_51_19_768.jpg, C:\Users\Kasper\Desktop\Data\IMG\left_2019_02_16_13_51_19_768.jpg, C:\Users\Kasper\Desktop\Data\IMG\right_2019_02_16_13_51_19_768.jpg, 0, 0, 0, 7.808462E-05
C:\Users\Kasper\Desktop\Data\IMG\center_2019_02_16_13_51_19_871.jpg, C:\Users\Kasper\Desktop\Data\IMG\left_2019_02_16_13_51_19_871.jpg, C:\Users\Kasper\Desktop\Data\IMG\right_2019_02_16_13_51_19_871.jpg, -0.1647335, 0.284344, 0, 0.2414884
C:\Users\Kasper\Desktop\Data\IMG\center_2019_02_16_13_51_20_185.jpg, C:\Users\Kasper\Desktop\Data\IMG\left_2019_02_16_13_51_20_185.jpg, C:\Users\Kasper\Desktop\Data\IMG\right_2019_02_16_13_51_20_185.jpg, 0, 1, 0, 3.732788
C:\Users\Kasper\Desktop\Data\IMG\center_2019_02_16_13_51_20_278.jpg, C:\Users\Kasper\Desktop\Data\IMG\left_2019_02_16_13_51_20_278.jpg, C:\Users\Kasper\Desktop\Data\IMG\right_2019_02_16_13_51_20_278.jpg, 0, 1, 0, 4.901533
C:\Users\Kasper\Desktop\Data\IMG\center_2019_02_16_13_51_20_379.jpg, C:\Users\Kasper\Desktop\Data\IMG\left_2019_02_16_13_51_20_379.jpg, C:\Users\Kasper\Desktop\Data\IMG\right_2019_02_16_13_51_20_379.jpg, 0, 0.8476853, 0, 5.999475
C:\Users\Kasper\Desktop\Data\IMG\center_2019_02_16_13_51_20_478.jpg, C:\Users\Kasper\Desktop\Data\IMG\left_2019_02_16_13_51_20_478.jpg, C:\Users\Kasper\Desktop\Data\IMG\right_2019_02_16_13_51_20_478.jpg, 0, 0.5788946, 0, 6.770474
C:\Users\Kasper\Desktop\Data\IMG\center_2019_02_16_13_51_20_581.jpg, C:\Users\Kasper\Desktop\Data\IMG\left_2019_02_16_13_51_20_581.jpg, C:\Users\Kasper\Desktop\Data\IMG\right_2019_02_16_13_51_20_581.jpg, -0.1726124, 0.8794394, 0, 7.595588
